"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bahrain","BHR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","1382860705.7575","1639095744.68085","1878190957.44681","1957712765.95745","2139361968.08511","1914361702.12766","1815425531.91489","2020744680.85106","2293882978.7234","2486170212.76596","2648670212.76596","3786968085.10638","3940691489.3617","4084840425.53191","4073138297.87234","4321276595.74468","4508244680.85106","4633776595.74468","4814627659.57447","5044148936.17021","5516835106.38298","5753324468.08511","6021728723.40425","6670319148.93617","8285531914.89362","8589601063.82979","8778377659.57447","9498803191.48936","11770345744.6809","12590292553.1915","13913776595.7447","15227154255.3191","16434680851.0638","18327101063.8298","18904707446.8085","19619707446.8085","20006622340.4255","20781941489.3617","21562925531.9149","21390824468.0851","","",
"Bahamas, The","BHS","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","506100000","611900000","894800000","990900000","1086200100","1141100000","1232300000","1599600000","1747700000","1870800000","2054100000","","2329790000","2396180000","2491670000","2435600000","2459830000","2613740000","2810110000","3030110000","4394100000","4787200000","5163200000","5374500000","5838100000","5886400000","5998700000","6203600000","6804800000","7297100000","7487300000","7625000000","7313200000","7491000000","7726900000","8217700000","8065000000","8475800000","8941900000","9034500000","9844700000","10014300000","9842500000","7999900000","",
"Bosnia and Herzegovina","BIH","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6985425212.22864","7221122261.17547","8144396709.81246","10248016278.3984","11784966762.2331","12842326584.0068","14095740613.4814","16895333997.5041","20506606160.8422","19001859566.4537","18360337864.4625","19823002864.6297","18625405278.8746","19349412109.4357","19629097326.8885","16570999741.624","16758387759.671","17486934805.3245","19031256857.8099","18778063715.196","18851500640.8016","",
"Belarus","BLR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15400000000","12000000000","11296296296.2963","12165289256.1983","11931017119.8389","11127569458.8311","11887538461.5385","10932830072.4079","11829236038.8484","9485854108.58621","9729573623.89361","9782194244.60431","11751367950.8654","13996538274.0127","17203101851.8519","21983008356.546","26120372960.373","31845526561.0438","41612172284.6442","36786788399.5704","41009331990.6009","38384864321.608","40474055415.6171","48856159909.9099","52475401017.2144","38275806856.7123","33483614796.9441","38368162293.6397","41597320376.914","45606319915.8619","41198967043.7777","",
"Belize","BLZ","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","127076317.507798","135460401.797979","134224977.096547","133567177.406522","131731689.890705","141428047.263465","139697336.323512","163972665.392706","186922108.570174","214357928.229519","222123563.672886","251750000","439903400","465309650","500901950","534253350","569188450","592298550","632322950","680011850","723881750","793755250","862026200","910018050","940458100","957543650","977085750","1041820550","1095352100","1144749150","1191825500","1260928750","1296492200","1365034450","1414976700","1469499450","1599057800","1580755600","1619119850","1600919950","1404085206.525","",
"Bermuda","BMU","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4088996000","4010713000","4009754000","4018507000","3965905000","4069755000","4205443000","4343386000","4368343000","4471912000","4098500000","",
"Bolivia","BOL","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","346416467.720663","389322025.409439","418037028.998815","447753718.759912","472378503.814755","533417508.417508","595454545.454545","674326599.326599","739898989.89899","795791245.791246","848063973.063973","944023569.023569","1040917638.20985","1012793603.1984","1615592203.89805","2002048975.51224","2268315842.07896","2701799100.44978","3112493753.12344","3642744065.91091","3670473083.19739","4934747145.1876","4729076955.97276","4472650347.53702","5089431775.78438","4534582947.94207","3596083165.10229","3950277635.83717","4155811321.39696","4200555043.69019","4313523710.46286","4804058258.39245","5210159979.48981","5318443412.81564","5452684125.09469","6002812115.90942","6543011074.76451","7023453552.32857","7586377561.20578","7591996593.48978","7634106088.78467","7410028001.02923","7098072384.93724","7074841106.12074","7384244329.6371","7858130447.18017","8832722427.48015","10139794935.806","12589309920.8378","13908505413.1054","14959204611.8546","17848012253.1354","19756346743.8495","22696563386.3965","25619724167.8726","28352112445.7308","29314157018.8133","31760847033.2851","34057574819.1027","35410348769.8987","32584159623.7337","",
"Brazil","BRA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","12190115073.3641","11992000784.22","16282880590.4373","18604727521.4267","17115832349.3402","16951827614.4205","21453709339.9631","25416088594.8761","27673985821.9234","29061029039.4237","33810560993.4346","39662117473.8288","47073605517.5611","61826422206.6525","84615479016.3177","95414734766.2849","121044193603.271","138463998128.67","157057611873.94","178372038063.206","185449993606.238","203719488313.553","224137528862.438","164482455315.142","164368547549.499","168648649160.71","210339906087.958","218881106852.983","238169586924.164","241631776693.982","307084624226.041","272265078384.443","257897339176.922","286336787935.992","407177627034.213","651120367923.89","722081995407.853","749355847997.291","727355502515.1","506474547758.575","546385187179.984","467312021136.759","416544016475.184","451734614081.17","526557761004.693","707906018088.228","880303979312.221","1101176602842.77","1332436727294.78","1360387306528.15","1750276403516.99","2065275354129.37","1970752065813.08","1993283532551.86","2016733904908.6","1509201474487.29","1519709163655.8","1746893349686.14","1620022966168.8","1593187493071.4","1202129619539.82","",
"Barbados","BRB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","365174496.312064","397974847.7892","433212577.237393","483200914.831204","584497588.624273","665937453.388356","773877591.607418","791527867.548352","828916621.090837","904688509.918958","921443842.291056","1102272162.2831","1215581961.91518","1218465668.97032","1348481081.88734","1686620593.6459","1724009347.18839","1671300000","1748421418.98275","1775667478.74509","1953562372.59484","2059911500.02486","2213245164.81877","2426291453.28892","2576343658.33043","2691200000","2749300000","2754400000","2768200000","3079300000","3446250000","3513496050","3959358250","4252591350","3848918550","4221510750","4363015250","4262971600","4388392850","4376949500","4259147900","4307564750","4446282900","4596114850","4671636350","4093000000","",
"Brunei Darussalam","BRN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","263449464.483565","330620334.837431","277238141.492634","301713536.115438","294195250.659631","405591832.980778","752848869.79264","598759880.721352","662616822.429906","799810695.693327","","","","","","1520791673.07594","1707586206.89655","1828548275.06367","2269490484.9601","2643272682.26266","2691501898.6513","3001269930.85932","3268085106.38298","3349946120.68966","2841180688.33652","2903244837.75811","3039279582.36659","3122305631.52313","3083575561.26438","3369624612.55883","3827177375.45853","3895461727.95001","4344074516.96142","5240130051.0915","5012983347.44567","5113776983.36312","5053171983.86505","5835917004.53136","6133162612.03585","6409846547.31458","6329913180.74191","5798930467.67038","5400894592.05097","5694482076.90637","5926601897.84269","6127478962.02903","5905703850.50074","",
"Bhutan","BTN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234902677.037474","193875839.929639","214727750.771605","171849563.791407","170921510.997769","187896749.922911","234967626.305391","307472660.424126","324665945.2254","354575438.922434","308514147.752559","289877181.606273","350217292.73812","412781771.146415","478522372.021183","607189780.045352","522708861.76529","873030995.078419","803141185.421513","876925266.448096","1018167054.48565","1078691839.59889","986960673.46343","1322755001.04099","1302772757.43698","1473613799.4354","1450154792.07623","1692979670.3398","1834253942.49117","1936533073.55975","1919824457.74361","",
